n,algo_a,algo_b,abs_max,rel_max,rel_mean,rel_q90
1024,kl_inplace,kl_packed_pq,6.02135e-10,5.4079e-10,1.17104e-11,2.58007e-11
1024,kl_inplace,kl_threshold,6.02135e-10,5.4079e-10,1.17104e-11,2.58007e-11
1024,kl_inplace,kl_tellegen,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,kl_inplace,kl_tellegen_xy,1.18816e-05,8.09561e-06,1.02825e-07,2.1422e-07
1024,kl_truncated_mul,kl_packed_pq,0.0,0.0,0.0,0.0
1024,kl_truncated_mul,kl_threshold,0.0,0.0,0.0,0.0
1024,kl_truncated_mul,kl_tellegen,1.18816e-05,8.09563e-06,1.02823e-07,2.14232e-07
1024,kl_truncated_mul,kl_tellegen_xy,1.18816e-05,8.09563e-06,1.02823e-07,2.14232e-07
1024,kl_packed_pq,kl_threshold,0.0,0.0,0.0,0.0
1024,kl_packed_pq,kl_tellegen,1.18816e-05,8.09563e-06,1.02823e-07,2.14232e-07
1024,kl_packed_pq,kl_tellegen_xy,1.18816e-05,8.09563e-06,1.02823e-07,2.14232e-07
1024,kl_threshold,kl_tellegen,1.18816e-05,8.09563e-06,1.02823e-07,2.14232e-07
1024,kl_threshold,kl_tellegen_xy,1.18816e-05,8.09563e-06,1.02823e-07,2.14232e-07
1024,kl_tellegen,kl_tellegen_xy,0.0,0.0,0.0,0.0
